Year,id,Country Name,lnGNI,lnNCDs,lnSFI,lnOPhE,lnIWR,GNI,,,,,,,,,,,,,,,,OPHE,lnGNI,OD,IWR,5.478607144
2000,74,Niger,5.135798437,2.772588722,1.887069649,4.183042017,3.777348102,170,,,,,,,,,,,,,,,,65.565,5.135798437,80.7,43.7,2.846182608
2012,74,Niger,5.966146739,3.206803244,2.312535424,4.102653943,4.028916757,390,,,,,,,,,,,,,,,,60.50064,5.966146739,74.2,56.2,4.50412941
2000,75,Nigeria,5.598421959,2.954910279,3.526360525,4.121505832,3.947390149,270,,,,,,,,,,,,,,,,61.65201,5.598421959,24.6,51.8,2.740726572
2012,75,Nigeria,7.81197343,3.186352633,3.39785848,4.183786649,4.182050143,2470.000001,,,,,,,,,,,,,,,,65.61384,7.81197343,24.9,65.5,3.510534029
2000,76,Pakistan,6.194405391,3.632309103,3.608211551,4.154147984,4.483002552,489.9999999,,,,,,,,,,,,,,,,63.69767,6.194405391,37.1,88.5,5.696685902
2012,76,Pakistan,7.138867,3.921973336,4.065602093,4.002968401,4.509760001,1260,,,,,,,,,,,,,,,,54.76046,7.138867,17.9,90.9,6.59926547
2000,77,Panama,8.263590433,4.24563401,4.201703081,3.256082203,4.494238625,3880.000001,,,,,,,,,,,,,,,,25.94768,8.263590433,7.4,89.5,3.255810245
2012,77,Panama,9.160099156,4.244200318,4.295923936,3.210843653,4.540098189,9510.000004,,,,,,,,,,,,,,,,24.8,9.160099156,4.2,93.7,4.583727398
2000,78,Papua New Guinea,6.429719478,3.532225644,2.954910279,2.325903103,3.55820113,620,,,,,,,,,,,,,,,,10.23592,6.429719478,14.4,35.1,4.829883925
2012,78,Papua New Guinea,7.50659178,3.740047741,2.939161922,2.399272506,3.686376324,1820,,,,,,,,,,,,,,,,11.01516,7.50659178,11.5,39.9,5.987551158
2000,79,Paraguay,7.215239979,4.183575696,4.226833745,3.952520019,4.295923936,1360,,,,,,,,,,,,,,,,52.06641,7.215239979,1.3,73.4,4.553571583
2012,79,Paraguay,8.14031554,4.276666119,4.447346101,3.926234147,4.536891345,3429.999999,,,,,,,,,,,,,,,,50.71563,8.14031554,0.1,93.4,5.801371445
